"name","orig.ident","nCount_RNA","nFeature_RNA","percent.mito","percent.mt","seurat_clusters","neuron_cluster"
"hypothalamus-JM-1_DB2209_N1","hypothalamus-JM-1",4592,2074,0.003266551,0.326655052,0,0
"hypothalamus-JM-1_DB308_N1","hypothalamus-JM-1",7810,3144,0.003329065,0.33290653,0,0
"hypothalamus-JM-1_DB2135_N1","hypothalamus-JM-1",8512,3495,0.00387688,0.38768797,3,9
"hypothalamus-JM-1_DB1768_N1","hypothalamus-JM-1",11325,4412,0.001677704,0.167770419,3,12
"hypothalamus-JM-1_DB4883_N1","hypothalamus-JM-1",9143,3670,0.001531226,0.153122607,1,1
"hypothalamus-JM-1_DB6496_N1","hypothalamus-JM-1",12863,4442,0.003187437,0.318743683,3,15
"hypothalamus-JM-1_DB1110_N1","hypothalamus-JM-1",12674,4160,0.001735837,0.173583715,1,7
"hypothalamus-JM-1_DB2945_N1","hypothalamus-JM-1",2694,1530,0.003711952,0.371195249,10,NA
"hypothalamus-JM-1_DB2614_N1","hypothalamus-JM-1",6767,3003,0.003694399,0.369439929,0,13
"hypothalamus-JM-1_DB4200_N2","hypothalamus-JM-1",6108,2721,0.003929273,0.392927308,7,3
"hypothalamus-JM-1_DB2157_N1","hypothalamus-JM-1",4886,2161,0.001841998,0.184199754,0,2
"hypothalamus-JM-1_DB6559_N1","hypothalamus-JM-1",3803,1929,0.010255062,1.025506179,3,3
"hypothalamus-JM-1_DB3151_N2","hypothalamus-JM-1",18637,5656,0.003219402,0.321940226,9,NA
"hypothalamus-JM-1_DB4527_N1","hypothalamus-JM-1",6950,3001,0.003021583,0.302158273,1,4
"hypothalamus-JM-1_DB3204_N1","hypothalamus-JM-1",9571,3880,0.001149305,0.114930519,3,3
"hypothalamus-JM-1_DB6569_N1","hypothalamus-JM-1",17033,5742,0.003229026,0.322902601,4,14
"hypothalamus-JM-1_DB101_N1","hypothalamus-JM-1",6844,3367,0.001753361,0.175336061,10,NA
"hypothalamus-JM-1_DB2124_N1","hypothalamus-JM-1",9371,3690,0.002561093,0.256109273,0,0
"hypothalamus-JM-1_DB2397_N1","hypothalamus-JM-1",7119,3125,0.001264223,0.12642225,0,0
"hypothalamus-JM-1_DB3872_N1","hypothalamus-JM-1",3746,2031,0.001067806,0.106780566,1,1
"hypothalamus-JM-1_DB5887_N1","hypothalamus-JM-1",4840,2372,0.002066116,0.20661157,0,3
"hypothalamus-JM-1_DB4562_N1","hypothalamus-JM-1",5330,2608,0.001688555,0.168855535,0,2
"hypothalamus-JM-1_DB3621_N1","hypothalamus-JM-1",11096,4475,0.001171593,0.117159337,4,14
"hypothalamus-JM-1_DB722_N1","hypothalamus-JM-1",8932,3613,0.001343484,0.13434841,0,2
